Term	Relation Type	Term.1
Amount of Substance	has broader term	Quantity Kind
Temperature per Magnetic Flux Density	has broader term	Quantity Kind
Standard Gravitational Parameter	has broader term	Quantity Kind
Thermal Resistance	has broader term	Quantity Kind
Inverse Volume	has broader term	Quantity Kind
Inverse Time Temperature	has broader term	Quantity Kind
Magnetic Flux per Unit Length	has broader term	Quantity Kind
Gravitational Attraction	has broader term	Quantity Kind
Velocity	has broader term	Quantity Kind
Speed	has broader term	Quantity Kind
Luminous Flux	has broader term	Quantity Kind
Mass per Time	has broader term	Quantity Kind
Energy per Electric Charge	has broader term	Quantity Kind
Mass Temperature	has broader term	Quantity Kind
Mass Amount of Substance	has broader term	Quantity Kind
Volumetric Heat Capacity	has broader term	Quantity Kind
Inverse Amount of Substance	has broader term	Quantity Kind
Information Entropy	has broader term	Quantity Kind
Luminous Energy	has broader term	Quantity Kind
Power per Area Quartic Temperature	has broader term	Quantity Kind
Second Moment of Area	has broader term	Quantity Kind
Area Time Temperature	has broader term	Quantity Kind
Time Squared	has broader term	Quantity Kind
Electric Charge per Unit Area	has broader term	Quantity Kind
Molar Angular Momentum	has broader term	Quantity Kind
Inverse Length	has broader term	Quantity Kind
Moment of Inertia	has broader term	Quantity Kind
Length Mass	has broader term	Quantity Kind
Electric Field	has broader term	Quantity Kind
Mass	has broader term	Quantity Kind
Inverse Magnetic Flux	has broader term	Quantity Kind
Inverse Permittivity	has broader term	Quantity Kind
Time Temperature	has broader term	Quantity Kind
Polarizability	has broader term	Quantity Kind
Specific Heat Pressure	has broader term	Quantity Kind
Inverse Energy	has broader term	Quantity Kind
Luminous Flux per Area	has broader term	Quantity Kind
Power	has broader term	Quantity Kind
Energy per Area	has broader term	Quantity Kind
Heart Rate	has broader term	Quantity Kind
Energy per Area Electric Charge	has broader term	Quantity Kind
Permittivity	has broader term	Quantity Kind
Power per Area	has broader term	Quantity Kind
Radiant Intensity	has broader term	Quantity Kind
Quartic Electric Dipole Moment per Cubic Energy	has broader term	Quantity Kind
Luminous Intensity	has broader term	Quantity Kind
Force Per Area Time	has broader term	Quantity Kind
Thermal Resistivity	has broader term	Quantity Kind
Respiratory Rate	has broader term	Quantity Kind
Length Molar Energy	has broader term	Quantity Kind
Video Frame Rate	has broader term	Quantity Kind
Concentration	has broader term	Quantity Kind
Electric Conductivity	has broader term	Quantity Kind
Volume per Unit Time	has broader term	Quantity Kind
